Position,Track,Artist,Streams,ID
1,Closer,The Chainsmokers,196646,7BKLCZ1jbUBVqRi2FVlTVw
2,Starboy,The Weeknd,176305,2IY7eOUDjw2ArKYxKa2jXc
3,Let Me Love You,DJ Snake,176064,4pdPtRcBmOSQDlJ3Fk945m
4,Cold Water (feat. Justin Bieber & MØ),Major Lazer,155012,6DNtNfH8hXkqOX1sjqmI7p
5,The Greatest,Sia,151288,3XIIOCu6B8PuGq5j61asEM
6,Ain't My Fault,Zara Larsson,150874,4nA0biSjtvOL41Hd9MBXqR
7,Arigato,Julie Bergan,133102,4XuK9jJP3mpYBq5qf68vfF
8,My Way,Calvin Harris,132773,1vvNmPOiUuyCbgWmtc6yfm
9,In the Name of Love,Martin Garrix,128313,23L5CiUhw2jV1OIMwthR3S
10,Perfect Strangers,Jonas Blue,122599,1CUVN2kn7mW5FjkqXTR2W1
11,Heathens,Twenty One Pilots,120365,6i0V12jOa3mr6uu4WYhUBr
12,Treat You Better,Shawn Mendes,117295,53B2XmmjJ9rriW1qciMBeX
13,Don't Be So Shy - Filatov & Karas Remix,Imany,115113,00vk0sEfb6mr2ehwSw0Uhn
14,Dancing On My Own,Calum Scott,99859,02WacdrRpm4zlP8H7X6bnQ
15,Side To Side,Ariana Grande,98934,4pLwZjInHj3SimIyN9SnOz
16,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,96874,4dASQiO1Eoo3RJvt74FtXB
17,Run Run Run,Junge Junge,95756,29Xp9qXcl1LBpGMFtfUZ4O
18,Hymn For The Weekend - Seeb Remix,Coldplay,95531,6s3GEN8wK0OMzzzZbXj0fu
19,The Ocean,Mike Perry,93361,2CPqh63wRVscbceKcPxwvv
20,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,90982,06KyNuuMOX1ROXRhj787tj
21,Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,87018,0L9lXMXddmoBbBUeF7A9An
22,Mercy,Shawn Mendes,85979,4lYTkvMkcNRj9uoSr8Zpws
23,Aldrig Bli Som Förr,Laleh,85433,7gSpmvpI5iyMw7gRCLPwoA
24,Cool Girl,Tove Lo,83925,5LWVXN39UpNyhkYnBvDfyq
25,False Alarm,Matoma,79286,7gZQfdEQpmwAoPHSbEHzms
26,Let Me Hold You (Turn Me On),Dante Klein,75420,0lmdsH1MIoLsMymnNpd6HU
27,Starving,Hailee Steinfeld,75087,6DG2g1UhROp5pnM8fx7zH2
28,Scars To Your Beautiful,Alessia Cara,73802,0prNGof3XqfTvNDxHonvdK
29,Black Car,Miriam Bryant,72078,1UQV61skkJGjGo3ZmjPwXX
30,Africa - Radio Version,BACALL,71795,0P7lnn81aNwdv2kYWkCFLK
31,One Dance,Drake,70793,1xznGGDReH1oQq0xzbwXa3
32,Sitter på en dröm,Daniel Adams-Ray,70691,6WodA811IEkKVoz7agoL8W
33,Please Don't Go,Joel Adams,69350,3cNjgVBKTJ1SvKhunrCdVy
34,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,68689,6JV2JOEocMgcZxYSZelKcc
35,Somewhere New - Radio Edit,Klingande,68033,1sfmIZRBmY5yq5wRQs987T
36,All I Wanna Do,Martin Jensen,64500,0BiGd2FNDQ0eh79ZHfp6tS
37,Dynamite (feat. Pretty Sister),Nause,61909,2Ae5awwKvQpTBKQHr1TYCg
38,Don't Let Me Down,The Chainsmokers,61221,1i1fxkWeaMmKEB4T7zqbzK
39,Bara Få Va Mig Själv,Laleh,57898,2FnUyLhe7sjXgnZlK9sc0z
40,Sexual,NEIKED,57405,3AsAuGTaDQzavZZThyYlop
41,You & Me,Marc E. Bassy,57253,0qRZ9ydGdzeVk3S01pLGoJ
42,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,55545,4AOpEhqA7zHxQjkHmRrAp7
43,Too Good,Drake,54858,11KJSRSgaDxqydKYiD2Jew
44,Sthlm Nights,Peg Parnevik,53651,1OPOkGoucSWZkpXyI1Q6Qb
45,Capsize,FRENSHIP,53259,3GBlLqIYgB8zWaeWDNJzdh
46,Final Song,MØ,53223,4qqArAiTPueDxIp7cf87h7
47,Cheap Thrills,Sia,49702,27SdWb2rFzO6GWiYDBTD9j
48,Sing Me to Sleep,Alan Walker,49266,6UcTHiP25meOD9ox8Rspgx
49,This Is What You Came For,Calvin Harris,47723,0azC730Exh71aQlOt9Zj3y
50,"Don't You Need Somebody (feat. Enrique Iglesias, R. City, Serayah & Shaggy)",RedOne,46750,1TPUbLdzpfgF7wrPEXIAAB
51,Elektrisk,Marcus & Martinus,43300,2q83iIfEGIk8kyrdT4uYOG
52,Send My Love (To Your New Lover),Adele,42886,4BHzQ9C00ceJxfG16AlNWb
53,Beast,Tungevaag & Raaban,40771,6ZbiaHwI9x7CIxYGOEmXxd
54,"i hate u, i love u (feat. olivia o'brien)",gnash,39905,7vRriwrloYVaoAe3a9wJHe
55,Say You Won't Let Go,James Arthur,38148,1Pw5C4N6Fn5E4mGCxmbbVa
56,Into You,Ariana Grande,36520,7yHEDfrJNd0zWOfXwydNH0
57,Faded,Alan Walker,36154,1brwdYwjltrJo7WHpIvbYt
58,Broccoli (feat. Lil Yachty),D.R.A.M.,34805,4a87wpeqAcOv03pYihEzku
59,Ride,Twenty One Pilots,33744,2Z8WuEywRWYTKe1NybPQEW
60,LUV,Tory Lanez,33673,16Ah4QqH4mgYVXqfC4mdSd
61,Alive,Madden,33449,7J2EJ4QMpGUbB2H3SYYYtU
62,Suburbia,Kilian & Jo,32429,5aspgVO0MxLbOWLxKMCqio
63,Kill Em With Kindness,Selena Gomez,31533,7KxhSJOYiqCDclXDBNlFSZ
64,Love Yourself,Justin Bieber,30837,3hB5DgAiMAQ4DzYbsMq1IT
65,No Money,Galantis,29769,0gb1J5UrTpzaU1s3nupgCd
66,Panda,Desiigner,29719,5OOkp4U9P9oL23maHFHL1h
67,Perfect Illusion,Lady Gaga,29711,4lkDky0afnOb8QZZsbeS2Y
68,Body Say,Demi Lovato,29298,7xrA11O07xo57Bbg6p4hck
69,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,28462,1MtUq6Wp1eQ8PC6BbPCj8P
70,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,David Guetta,27966,46NBoIAHrmR7qcUGCIFEjR
71,Needed Me,Rihanna,27889,1Tt4sE4pXi57mTD1GCzsqm
72,Stressed Out,Twenty One Pilots,27393,3CRDbSIZ4r5MsZ0YwxuEkn
73,Photograph,Ed Sheeran,27254,1HNkqx9Ahdgi1Ixy2xkKkL
74,"Still Falling For You - From ""Bridget Jones's Baby"" Original Motion Picture Soundtrack",Ellie Goulding,26817,638fKB27P7UAmu3Aq0vEJ3
75,7 Years,Lukas Graham,26727,5kqIPrATaCc2LqxVWzQGbk
76,Lost Boy,Ruth B,25733,4h0zU3O9R5xzuTmNO7dNDU
77,Light It Up,Marcus & Martinus,24932,7JCx3pYf69iTL2regqsZ04
78,Se på mig nu - Singelversion,Petter,24815,2L4ziwj7qszemW1EiV9eiz
79,September Song,JP Cooper,24705,0FuTx2s3YH1ppmtiM6l0zI
80,Fresh Eyes,Andy Grammer,24400,4nMlau89VAjmV7agkl7OY3
81,When We Were Young,Adele,24035,7IWkJwX9C0J7tHurTD7ViL
82,DUELE EL CORAZON,Enrique Iglesias,24034,6YZdkObH88npeKrrkb8Ggf
83,Sorry,Justin Bieber,23726,69bp2EbF7Q2rqc5N3ylezZ
84,Utan dina andetag,Kent,23402,1Yc4z9MWH2gtGzLY2RjGqW
85,Work from Home,Fifth Harmony,23339,4tCtwWceOPWzenK2HAIJSb
86,Wherever I Go,OneRepublic,23263,7kUtJKGZzLNgIkq1Galkt0
87,Hello,Adele,23225,4sPmO7WMQUAf45kwMOtONw
88,Sex,Cheat Codes,23042,5ZEM9j0jrFr5RdHEbl2MYV
89,Girls,Marcus & Martinus,22653,4Amp4gFD9e67BS46vEhkHx
90,Alarm,Anne-Marie,22418,0OwX5aROoW1Iip8FV51Efg
91,No Promises,Shawn Mendes,22193,0h8cJ7U5neqppFfDWP17B1
92,Let’s Escape,Vigiland,21933,1RQaRvNxIB9vstqoIXR7DR
93,Don't Be A Fool,Shawn Mendes,21904,3H1km5m7Giy27bwI2PjX3g
94,Controlla,Drake,21596,4CpKEkdGbOJV51cSvx7SoG
95,The Sound Of Silence,Disturbed,21316,1Cj2vqUwlJVG27gJrun92y
96,Egoist,Kent,21315,7bCV5n3FGxgNf5eHp0wZZp
97,Golden Light (feat. 6AM),Madden,21169,3T8j0WDSw7G98rNLAe2M2X
98,Fast Car - Radio Edit,Jonas Blue,20505,6OZh916QF8XNunWaP97WEZ
99,Gold,Kiiara,20468,6ZSO7kPn8IMJFymyticbJO
100,Stay With Me,Sam Smith,20309,7IHOIqZUUInxjVkko181PB
101,All of Me,John Legend,20062,3U4isOIWM3VvDubwSI3y7a
102,Don't Mind,Kent Jones,19907,27PmvZoffODNFW2p7ehZTQ
103,Pong Dance,Vigiland,19902,3AVnIi6HvEiHGlIj4c6ok2
104,What Do You Mean?,Justin Bieber,19602,3pzjHKrQSvXGHQ98dx18HI
105,Girls Like (feat. Zara Larsson),Tinie Tempah,19557,0rHVd8h0cFwgLgPFem6S60
106,Raging,Kygo,19528,2Vhd5uZB4brKHmM0MNxkZo
107,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,19344,6lDo13SSgTv0WbyUQKgnjk
108,Din Idiot,Norlie & KKV,19338,1gFZDb5kvPayobaRnCiytK
109,Let It Go,James Bay,19237,13HVjjWUZFaWilh2QUJKsP
110,Halo,Beyoncé,19090,4JehYebiI9JE8sR8MisGVb
111,Cake By The Ocean,DNCE,19075,7L5jgZtAyfiU7elB8DIqCx
112,Hurts So Good,Astrid S,18936,60lwJa695S26FsYbhCVFVa
113,Roses,Shawn Mendes,18864,0lzNpQxI583qBo7AwE6ux1
114,Vi mot världen,Veronica Maggio,18560,0WGzoXYjWNl5lZKiu376oV
115,Hey,Fais,18537,3jpViAo0HZOdT7Flyfne6j
116,True Colors,Anna Kendrick,18499,2ORrgw8M0ZbrFlm5cpaKCv
117,I'm in Love with the Coco,Hitimpulse,18427,7sU6BDmS1qwb78OpUMARPb
118,Lush Life,Zara Larsson,18211,0r4SsYcwvd8URat6AS2m6f
119,Never Be Like You,Flume,18048,12REd1n8PeiHHWOh066tpr
120,Lot To Learn,Luke Christopher,17926,3TRFq09DUgYj1mug6RRqJW
121,Stitches,Shawn Mendes,17842,1WP1r7fuvRqZRnUaTi2I1Q
122,Thinking Out Loud,Ed Sheeran,17777,34gCuhDGsG4bRPIf9bb02f
123,Min Villa (Luigis Mansion 2016),BEK & Wallin,17584,7EgtOMVPccFL8LnCh8v2qn
124,If I Were Sorry,Frans,17556,6oDkCmfVcSd9NXAKk1b4Ll
125,Dancing On My Own - Tiësto Remix,Calum Scott,17550,014J7jX1wSv0manSdRnveo
126,Ridin' - Radio Edit,Ben Mitkus,17533,0MzPuDLFtSrfcy5gDSkC7d
127,Better,Takida,17484,06I7twfjJ763P5K2utISya
128,Once In a While,Timeflies,17307,6cREm4bV7V79Yxdilx9HDo
129,Ett sista glas,Miriam Bryant,17274,1SZDQMXX1FrA97YY7Lt3Fj
130,Ruin,Shawn Mendes,17198,0JbDAwdeOrbtlADpxgxfc6
131,Terapi,Kent,17114,6KfNP1mmhmuevpFtu5nQ3i
132,Heartbeat,Christopher,17028,4uzaKmkExQmSM4ku8HmTxl
133,Jovial,Freddy Kalas,17027,5paNYIC0vrVj1EWGVzfJzb
134,The Weight,Mavrick,16991,0DskSLv9ocz7KsJlqUSCGw
135,The Mack,Nevada,16907,2fUZ3aMp8amSaV0mp8s6rQ
136,I See Fire,Ed Sheeran,16845,5pY3ovFxbvAg7reGZjJQSp
137,All In,Emil Assergård,16716,12nmbTit5bc9GK0UzHpnx6
138,Vi är inte längre där,Kent,16648,54DEdGLgtE60M6AHrGPkx5
139,Beautiful Birds (feat. Birdy),Passenger,16580,3Cj5F2XWQZxlX9JDyJ40zt
140,Cool Me Down,Margaret,16252,2bI9SAoXPVKpz8xx5IToQW
141,Din tid kommer - Otto Knows Remix,Håkan Hellström,16231,04LHuPqOMSpnHFaziPq1qO
142,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,16138,3bidbhpOYeV4knp8AIu8Xn
143,Allt jag har,Thomas Stenström,16098,0O4wdqDNF5eC8lphHRGvj6
144,Take Me To Church,Hozier,15979,7dS5EaCoMnN7DzlpT6aRn2
145,Anywhere,Passenger,15868,1zxZ8lz2mJspMvRrEd9sWT
146,Fix You,Coldplay,15848,7LVHVU3tWfcxj5aiPFEW4Q
147,My House,Flo Rida,15742,6Knv6wdA0luoMUuuoYi2i1
148,Heartbeat,Marcus & Martinus,15619,6511EVGteoddQHgxIU3rpj
149,"Me, Myself & I",G-Eazy,15225,40YcuQysJ0KlGQTeGUosTC
150,Bada nakna,Samir & Viktor,15186,68jkh9nqSjpmRtkkA9f0ld
151,Fragile,Kygo,15157,6PyxrogMU9imKqVtKx6840
152,All In My Head (Flex),Fifth Harmony,15132,7nD9nN3jord9wWcfW3Gkcm
153,Silver,Kent,15073,3BGj9WOKMyl2ZlkK8IoKhq
154,Heatwave (feat. Akon),Robin Schulz,15050,2KMJ5CoxY4ECG9TZyNWmpv
155,Feel Da Rush,Freddy Kalas,15041,7B7OdAjUTyMAmnaUmuneVW
156,I Was Wrong - Robin Schulz Remix,A R I Z O N A,14976,3TZ3MiMILR5wrQbbWiFUwI
157,I sprickorna kommer ljuset in,Håkan Hellström,14694,5RAZlINOlt1wJm7FcnW0As
158,Take Me Back,Christopher,14622,1OcCoDKGaQyuBQBYWoGSbo
159,Let Her Go,Passenger,14557,7DFNE7NO0raLIUbgzY2rzm
160,Lose Yourself - Soundtrack Version,Eminem,14481,7w9bgPAmPTtrkt2v16QWvQ
161,Blow Your Mind (Mwah),Dua Lipa,14425,7kJlTKjNZVT26iwiDUVhRm
162,Unsteady,X Ambassadors,14338,7lGKEWMXVWWTt3X71Bv44I
163,Don't Stop Believin',Journey,14074,4bHsxqR3GMrXTxEPLuK5ue
164,Mama Said,Lukas Graham,13991,5ArQzSBevAdXTxRY6Ulhbq
165,Stay,Kygo,13980,2FiSTH0GYpIioUgjfzMIja
166,Three Empty Words,Shawn Mendes,13854,0mT7Yv1rLh3kdr4nXZS21X
167,Someone Like You,Adele,13781,4kflIGfjdZJW4ot2ioixTB
168,Wasn't Expecting That,Jamie Lawson,13772,2a5VluIESm1JP4Qwvo02H8
169,Company,Justin Bieber,13752,09mhA1SJjMHniZPF4Hcihn
170,One Call Away,Charlie Puth,13676,37R0bQOQj5a7DOqh1TGzvB
171,Patience,Shawn Mendes,13648,2Xp9NoDd3kUvEKKjvdRq3D
172,Honest,Shawn Mendes,13641,1L0Ha47YIWpGGfho1aUMVT
173,Back Where I Belong (feat. Avicii),Otto Knows,13619,78W8wiUIlQ2SnWY9TVowKZ
174,Classic,MKTO,13613,6FE2iI43OZnszFLuLtvvmg
175,"See You Again (feat. Charlie Puth) - From ""Furious 7""",Wiz Khalifa,13531,66CFbqJScx6zRieGllITcs
176,Tandtråd,Tjuvjakt,13519,1K2a8QcaPTDTZ1e4M0s8gQ
177,Work,Rihanna,13519,14WWzenpaEgQZlqPq2nk4v
178,For Evigt,Volbeat,13470,59fQzvSv0wPQorW2Bh0pns
179,Allt jag behöver,Miriam Bryant,13457,3Q06XfNgOjBQAyPV4GbYaR
180,Gubben i lådan,Daniel Adams-Ray,13449,08bjJuoHJwfTnjNcuENOFz
181,No Diggity,Campsite Dream,13418,79T9m6YkRCgP0955CE4UCd
182,Purple Lamborghini (with Rick Ross),Skrillex,13392,6JyuJFedEvPmdWQW0PkbGJ
183,'Till I Collapse,Eminem,13311,6yr8GiTHWvFfi4o6Q5ebdT
184,Din tid kommer,Håkan Hellström,13221,4fScePDGQMY0ibb3L90xS3
185,Roses,The Chainsmokers,13201,3vv9phIu6Y1vX3jcqaGz5Z
186,Lean On (feat. MØ & DJ Snake),Major Lazer,13082,4WjH9Bzt3kx7z8kl0awxh4
187,Famous,Kanye West,13016,04mf1OkXHZ6TPBNM9sBcSm
188,Whole Heart,Gryffin,13006,4Z1t1aMRif8ES212kTN8H2
189,Don't Let Me Down,Conor Maynard,12959,4ks6j7JsfJorc1tb4THJo8
190,Trakten min,Yasin,12916,2HuMRW4PILLHwRb21oUhdO
191,Snälla bli min,Veronica Maggio,12794,2jEPQKvz7dh1pfpRyq6G1C
192,Goliat,Laleh,12708,7qA8S7mbV9uPy9rFprdN3C
193,Nervous - Acoustic,Gavin James,12702,0Jh0BrPAU1RxzokKeHngKU
194,Without Me,Eminem,12649,5pBvNeOAJ54zgd5lEOmM3b
195,Still Falling For You - Jonas Blue Remix,Ellie Goulding,12471,0SwjtkL3kzjZeJo9YrWUAH
196,Shots & Squats,Vigiland,12469,3FS2e59gXFXrcg7sN2mL5z
197,El Perdón,Nicky Jam,12328,4Ld3RS6KBXGsvtfmnjxlVl
198,Work,Laleh,12277,2YTCLIK4GO5zRX1BMAMrLN
199,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,12209,2l8w0zZVn4AZNuzrht7MRT
200,Ingen annan rör mig som du,Norlie & KKV,12190,0ivYdbkBZnS18uZxNLHEhx
